GEOID,tract,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year,county,locality_num,tract_num,tractnames
51003010401,Census Tract 104.01,Albemarle County,NHPI,0,13,less_than_hs,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,NHPI,0,13,hs_only,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,NHPI,0,13,bachelors_up,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Other,86,100,less_than_hs,0,0,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Other,86,100,hs_only,81,94.19,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Other,86,100,bachelors_up,5,5.81,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Multi,13,15,less_than_hs,0,0,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Multi,13,15,hs_only,0,0,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Multi,13,15,bachelors_up,13,100,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Hispanic,125,117,less_than_hs,0,0,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Hispanic,125,117,hs_only,74,59.2,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Hispanic,125,117,bachelors_up,51,40.8,2022,Albemarle,003,010401,Stony Point-Keswick
51003010402,Census Tract 104.02,Albemarle County,White,2369,226,less_than_hs,104,4.39,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,White,2369,226,hs_only,808,34.11,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,White,2369,226,bachelors_up,1457,61.5,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,White_non_hisp,2369,226,less_than_hs,104,4.39,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,White_non_hisp,2369,226,hs_only,808,34.11,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,White_non_hisp,2369,226,bachelors_up,1457,61.5,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Black,89,76,less_than_hs,0,0,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Black,89,76,hs_only,17,19.1,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Black,89,76,bachelors_up,72,80.9,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Amer_Indian,2,11,less_than_hs,0,0,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Amer_Indian,2,11,hs_only,2,100,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Amer_Indian,2,11,bachelors_up,0,0,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Asian,87,83,less_than_hs,0,0,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Asian,87,83,hs_only,13,14.94,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Asian,87,83,bachelors_up,74,85.06,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,NHPI,0,13,less_than_hs,0,NA,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,NHPI,0,13,hs_only,0,NA,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,NHPI,0,13,bachelors_up,0,NA,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Other,4,8,less_than_hs,0,0,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Census Tract 104.02,Albemarle County,Other,4,8,hs_only,4,100,2022,Albemarle,003,010402,Village of Rivanna
